Reaction,kT_keV,MACS(b)
"⁵⁶Fe(n,g)⁵⁷Fe",5.0,41.2036653667919
"⁵⁶Fe(n,g)⁵⁷Fe",10.0,34.02344446711309
"⁵⁶Fe(n,g)⁵⁷Fe",15.0,29.21419586724539
"⁵⁶Fe(n,g)⁵⁷Fe",20.0,26.02020905484414
"⁵⁶Fe(n,g)⁵⁷Fe",25.0,23.702656997495833
"⁵⁶Fe(n,g)⁵⁷Fe",30.0,21.901644831374785
"⁵⁶Fe(n,g)⁵⁷Fe",40.0,19.164925807583643
"⁵⁶Fe(n,g)⁵⁷Fe",50.0,17.0507987227937
"⁵⁶Fe(n,g)⁵⁷Fe",60.0,15.284182973100078
"⁵⁶Fe(n,g)⁵⁷Fe",80.0,12.421103563942442
"⁵⁶Fe(n,g)⁵⁷Fe",100.0,10.212244320912875
"⁵⁷Fe(n,g)⁵⁸Fe",5.0,107.97516095992741
"⁵⁷Fe(n,g)⁵⁸Fe",10.0,75.95241127307851
"⁵⁷Fe(n,g)⁵⁸Fe",15.0,57.25034201154533
"⁵⁷Fe(n,g)⁵⁸Fe",20.0,46.076937241371866
"⁵⁷Fe(n,g)⁵⁸Fe",25.0,38.71354519787248
"⁵⁷Fe(n,g)⁵⁸Fe",30.0,33.46613130005769
"⁵⁷Fe(n,g)⁵⁸Fe",40.0,26.370353643135914
"⁵⁷Fe(n,g)⁵⁸Fe",50.0,21.679531228852387
"⁵⁷Fe(n,g)⁵⁸Fe",60.0,18.28143310985344
"⁵⁷Fe(n,g)⁵⁸Fe",80.0,13.623689458282005
"⁵⁷Fe(n,g)⁵⁸Fe",100.0,10.578330512676503
"⁵⁸Fe(n,g)⁵⁹Fe",5.0,28.59857795272917
"⁵⁸Fe(n,g)⁵⁹Fe",10.0,23.754527396391623
"⁵⁸Fe(n,g)⁵⁹Fe",15.0,20.42127506759181
"⁵⁸Fe(n,g)⁵⁹Fe",20.0,18.153124465812645
"⁵⁸Fe(n,g)⁵⁹Fe",25.0,16.480381301476598
"⁵⁸Fe(n,g)⁵⁹Fe",30.0,15.169389396039364
"⁵⁸Fe(n,g)⁵⁹Fe",40.0,13.174890585674916
"⁵⁸Fe(n,g)⁵⁹Fe",50.0,11.648610513007077
"⁵⁸Fe(n,g)⁵⁹Fe",60.0,10.390566902744526
"⁵⁸Fe(n,g)⁵⁹Fe",80.0,8.386744829607988
"⁵⁸Fe(n,g)⁵⁹Fe",100.0,6.865619502912959
"⁵⁹Fe(n,g)⁶⁰Fe",5.0,102.17467652324733
"⁵⁹Fe(n,g)⁶⁰Fe",10.0,66.11413227235934
"⁵⁹Fe(n,g)⁶⁰Fe",15.0,49.66502389598592
"⁵⁹Fe(n,g)⁶⁰Fe",20.0,40.433791148088524
"⁵⁹Fe(n,g)⁶⁰Fe",25.0,34.48363390218304
"⁵⁹Fe(n,g)⁶⁰Fe",30.0,30.28360854523322
"⁵⁹Fe(n,g)⁶⁰Fe",40.0,24.61986216169249
"⁵⁹Fe(n,g)⁶⁰Fe",50.0,20.83023463372504
"⁵⁹Fe(n,g)⁶⁰Fe",60.0,18.01168825998113
"⁵⁹Fe(n,g)⁶⁰Fe",80.0,13.962966121023353
"⁵⁹Fe(n,g)⁶⁰Fe",100.0,11.15238150822559
