Reaction,kT_keV,MACS_mean(b),MACS_std(b)
56Fe_ng_TALYS,5.0,41.1685833091904,1.4672593480702965
56Fe_ng_TALYS,10.0,34.01494515864289,1.023828550660409
56Fe_ng_TALYS,15.0,29.21455720944319,0.8005057578421456
56Fe_ng_TALYS,20.0,26.018087917362912,0.659208071358098
56Fe_ng_TALYS,25.0,23.70909603934821,0.5626055019308452
56Fe_ng_TALYS,30.0,21.90610161598289,0.4873048160632185
56Fe_ng_TALYS,40.0,19.17889869088764,0.39490637349905355
56Fe_ng_TALYS,50.0,17.062105125937823,0.33336385695595133
56Fe_ng_TALYS,60.0,15.292637142463722,0.2917674089023119
56Fe_ng_TALYS,80.0,12.422258725819878,0.23303309199761219
56Fe_ng_TALYS,100.0,10.212268700373105,0.18982624675352464
