Reaction,kT_keV,MACS_mean(b),MACS_std(b)
57Fe_ng_TALYS,5.0,107.99070530806648,4.209562544635972
57Fe_ng_TALYS,10.0,76.09375979921994,2.5755018596742407
57Fe_ng_TALYS,15.0,57.37909222729698,1.6979547357294258
57Fe_ng_TALYS,20.0,46.19897393004465,1.2543609471593036
57Fe_ng_TALYS,25.0,38.8420928029251,0.9803579433038003
57Fe_ng_TALYS,30.0,33.56520628938456,0.7875502138095369
57Fe_ng_TALYS,40.0,26.409416327550353,0.5909350359257934
57Fe_ng_TALYS,50.0,21.70508764095601,0.45682356759842435
57Fe_ng_TALYS,60.0,18.28987059870337,0.37455261023964104
57Fe_ng_TALYS,80.0,13.624415098818764,0.26726785851953266
57Fe_ng_TALYS,100.0,10.575641620581015,0.20183644697499184
