Reaction,kT_keV,MACS_mean(b),MACS_std(b)
58Fe_ng_TALYS,5.0,28.55193979526395,1.0730938880252192
58Fe_ng_TALYS,10.0,23.751226717914772,0.7256845577330414
58Fe_ng_TALYS,15.0,20.40931610075633,0.5655107255686329
58Fe_ng_TALYS,20.0,18.148076517866112,0.4657631720472977
58Fe_ng_TALYS,25.0,16.48530779344568,0.3988811360450667
58Fe_ng_TALYS,30.0,15.17225802097285,0.34119111098745847
58Fe_ng_TALYS,40.0,13.180590120521876,0.2798438755405752
58Fe_ng_TALYS,50.0,11.656660830347295,0.23515152609594284
58Fe_ng_TALYS,60.0,10.395833218057962,0.20177919048092233
58Fe_ng_TALYS,80.0,8.384326535525188,0.15872488983630603
58Fe_ng_TALYS,100.0,6.860687466141129,0.1303929357874887
