Energy(MeV),CrossSection(b)
3.00E-03,7.81E+01
4.00E-03,6.52E+01
5.00E-03,5.68E+01
6.00E-03,5.07E+01
7.00E-03,4.61E+01
8.00E-03,4.25E+01
9.00E-03,3.96E+01
1.00E-02,3.72E+01
1.20E-02,3.34E+01
1.40E-02,3.07E+01
1.60E-02,2.86E+01
1.80E-02,2.70E+01
2.00E-02,2.57E+01
2.20E-02,2.47E+01
2.40E-02,2.38E+01
2.60E-02,2.30E+01
2.81E-02,2.23E+01
3.00E-02,2.18E+01
3.26E-02,2.11E+01
3.49E-02,2.06E+01
3.70E-02,2.02E+01
3.99E-02,1.96E+01
4.24E-02,1.91E+01
4.51E-02,1.87E+01
4.72E-02,1.84E+01
4.77E-02,1.83E+01
5.00E-02,1.79E+01
5.51E-02,1.72E+01
5.97E-02,1.66E+01
6.03E-02,1.66E+01
6.50E-02,1.60E+01
7.02E-02,1.54E+01
7.51E-02,1.49E+01
8.06E-02,1.44E+01
8.56E-02,1.40E+01
9.00E-02,1.37E+01
9.47E-02,1.33E+01
9.99E-02,1.29E+01
1.10E-01,1.22E+01
1.20E-01,1.17E+01
1.31E-01,1.11E+01
1.39E-01,1.07E+01
1.51E-01,1.02E+01
1.61E-01,9.82E+00
1.70E-01,9.54E+00
1.79E-01,9.26E+00
1.96E-01,8.80E+00
2.00E-01,8.71E+00
2.04E-01,8.62E+00
2.08E-01,8.54E+00
2.12E-01,8.45E+00
2.16E-01,8.36E+00
2.20E-01,8.28E+00
2.24E-01,8.19E+00
2.29E-01,8.11E+00
2.34E-01,8.03E+00
2.39E-01,7.95E+00
2.44E-01,7.86E+00
