Energy(MeV),CrossSection(b)
3.00E-03,2.36E+02
4.00E-03,1.90E+02
5.00E-03,1.61E+02
6.00E-03,1.41E+02
7.00E-03,1.27E+02
8.00E-03,1.15E+02
9.00E-03,1.06E+02
1.00E-02,9.87E+01
1.20E-02,8.72E+01
1.40E-02,7.87E+01
1.60E-02,5.84E+01
1.80E-02,5.09E+01
2.00E-02,4.55E+01
2.20E-02,4.13E+01
2.40E-02,3.80E+01
2.60E-02,3.54E+01
2.81E-02,3.30E+01
3.00E-02,3.12E+01
3.26E-02,2.92E+01
3.49E-02,2.77E+01
3.70E-02,2.64E+01
3.99E-02,2.50E+01
4.24E-02,2.39E+01
4.51E-02,2.28E+01
4.72E-02,2.21E+01
4.77E-02,2.19E+01
5.00E-02,2.12E+01
5.51E-02,1.97E+01
5.97E-02,1.87E+01
6.03E-02,1.85E+01
6.50E-02,1.76E+01
7.02E-02,1.66E+01
7.51E-02,1.58E+01
8.06E-02,1.50E+01
8.56E-02,1.43E+01
9.00E-02,1.38E+01
9.47E-02,1.33E+01
9.99E-02,1.28E+01
1.10E-01,1.19E+01
1.20E-01,1.12E+01
1.31E-01,1.04E+01
1.39E-01,8.01E+00
1.51E-01,6.36E+00
1.61E-01,5.87E+00
1.70E-01,5.55E+00
1.79E-01,5.26E+00
1.96E-01,4.84E+00
2.00E-01,4.76E+00
2.04E-01,4.68E+00
2.08E-01,4.60E+00
2.12E-01,4.53E+00
2.16E-01,4.46E+00
2.20E-01,4.39E+00
2.24E-01,4.32E+00
2.29E-01,4.25E+00
2.34E-01,4.18E+00
2.39E-01,4.12E+00
2.44E-01,4.06E+00
