Energy(MeV),CrossSection(b)
3.00E-03,5.43E+01
4.00E-03,4.53E+01
5.00E-03,3.93E+01
6.00E-03,3.50E+01
7.00E-03,3.18E+01
8.00E-03,2.93E+01
9.00E-03,2.73E+01
1.00E-02,2.56E+01
1.20E-02,2.32E+01
1.40E-02,2.14E+01
1.60E-02,2.00E+01
1.80E-02,1.90E+01
2.00E-02,1.82E+01
2.20E-02,1.75E+01
2.40E-02,1.69E+01
2.60E-02,1.64E+01
2.81E-02,1.59E+01
3.00E-02,1.55E+01
3.26E-02,1.50E+01
3.49E-02,1.46E+01
3.70E-02,1.42E+01
3.99E-02,1.38E+01
4.24E-02,1.34E+01
4.51E-02,1.31E+01
4.72E-02,1.28E+01
4.77E-02,1.28E+01
5.00E-02,1.25E+01
5.51E-02,1.19E+01
5.97E-02,1.14E+01
6.03E-02,1.14E+01
6.50E-02,1.09E+01
7.02E-02,1.05E+01
7.51E-02,1.01E+01
8.06E-02,9.68E+00
8.56E-02,9.38E+00
9.00E-02,9.11E+00
9.47E-02,8.84E+00
9.99E-02,8.56E+00
1.10E-01,8.08E+00
1.20E-01,7.67E+00
1.31E-01,7.26E+00
1.39E-01,6.99E+00
1.51E-01,6.66E+00
1.61E-01,6.40E+00
1.70E-01,6.21E+00
1.79E-01,6.03E+00
1.96E-01,5.73E+00
2.00E-01,5.67E+00
2.04E-01,5.61E+00
2.08E-01,5.56E+00
2.12E-01,5.50E+00
2.16E-01,5.44E+00
2.20E-01,5.39E+00
2.24E-01,5.34E+00
2.29E-01,5.28E+00
2.34E-01,5.23E+00
2.39E-01,5.18E+00
2.44E-01,5.12E+00
