Energy(MeV),CrossSection(b)
0.00,144.03
0.00,116.51
0.01,99.12
0.01,86.93
0.01,77.82
0.01,70.72
0.01,65.00
0.01,60.30
1.20E-02,52.98
1.40E-02,4.76E+01
1.60E-02,4.34E+01
1.80E-02,4.00E+01
2.00E-02,3.73E+01
2.20E-02,3.50E+01
2.40E-02,3.31E+01
2.60E-02,3.14E+01
2.81E-02,2.99E+01
3.00E-02,2.87E+01
3.26E-02,2.72E+01
3.49E-02,2.61E+01
3.70E-02,2.51E+01
3.99E-02,2.40E+01
4.24E-02,2.31E+01
4.51E-02,2.22E+01
4.72E-02,2.15E+01
4.77E-02,2.14E+01
5.00E-02,2.07E+01
5.51E-02,1.95E+01
5.97E-02,1.85E+01
6.03E-02,1.83E+01
6.50E-02,1.74E+01
7.02E-02,1.65E+01
7.51E-02,1.58E+01
8.06E-02,1.50E+01
8.56E-02,1.44E+01
9.00E-02,1.39E+01
9.47E-02,1.34E+01
9.99E-02,1.29E+01
1.10E-01,1.21E+01
1.20E-01,1.14E+01
1.31E-01,1.07E+01
1.39E-01,1.02E+01
1.51E-01,9.66E+00
1.61E-01,9.23E+00
1.70E-01,8.91E+00
1.79E-01,8.60E+00
1.96E-01,8.09E+00
2.00E-01,8.00E+00
2.04E-01,7.90E+00
2.08E-01,7.80E+00
2.12E-01,7.71E+00
2.16E-01,7.61E+00
2.20E-01,7.52E+00
2.24E-01,7.43E+00
2.29E-01,7.34E+00
2.34E-01,7.25E+00
2.39E-01,7.16E+00
0.24,7.07E+00
